Program Name,University Name,Program Link
Accounting,Brock University,https://www.ouinfo.ca/programs/brock/bk
Accounting,Carleton University,https://www.ouinfo.ca/programs/carleton/cba
Accounting,Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dbg
Accounting & Finance (Honours),Toronto Metropolitan University (formerly Ryerson University),https://www.ouinfo.ca/programs/toronto-metropolitan/sbo
Accounting & Finance Co-op (Honours),Toronto Metropolitan University (formerly Ryerson University),https://www.ouinfo.ca/programs/toronto-metropolitan/sqa
Accounting (BA 3 year),Algoma University,https://www.ouinfo.ca/programs/algoma/jaa
Accounting (Co-op),Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dcg
Accounting and Financial Management (Co-op Only),University of Waterloo,https://www.ouinfo.ca/programs/waterloo/wxy
Acting,University of Windsor,https://www.ouinfo.ca/programs/windsor/nd
Acting (3 years),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/ocb
Actuarial Science,University of Windsor,https://www.ouinfo.ca/programs/windsor/nma
Actuarial Science (BA),York University,https://www.ouinfo.ca/programs/york/ypd
Advertising,OCAD University,https://www.ouinfo.ca/programs/ocad-u/had
Aerospace Engineering (Co-op Available),Toronto Metropolitan University (formerly Ryerson University),https://www.ouinfo.ca/programs/toronto-metropolitan/saa
African Studies (BA),York University,https://www.ouinfo.ca/programs/york/yal
Alternative Dispute Resolution,Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/daq
Alternative Dispute Resolution (Co-op),Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dlq
Ancient Greek and Roman Studies,Trent University,https://www.ouinfo.ca/programs/trent/ran
Ancient Greek and Roman Studies (Honours Arts) – Co-op,Trent University,https://www.ouinfo.ca/programs/trent/rao
Ancient Greek and Roman Studies and Business,Trent University,https://www.ouinfo.ca/programs/trent/rj
Animal Biology,University of Guelph,https://www.ouinfo.ca/programs/guelph/gza
Anishinaabe Studies (BA 3 year),Algoma University,https://www.ouinfo.ca/programs/algoma/jau
Anishinaabemowin (BA 3 year),Algoma University,https://www.ouinfo.ca/programs/algoma/jab
Anthropology  & Psychology,Trent University – Durham Greater Toronto Area,https://www.ouinfo.ca/programs/trent-durham-gta/rf
Anthropology & Business Administration,Trent University – Durham Greater Toronto Area,https://www.ouinfo.ca/programs/trent-durham-gta/rfb
Anthropology & English Literature,Trent University – Durham Greater Toronto Area,https://www.ouinfo.ca/programs/trent-durham-gta/rjx
Anthropology & Forensics (BA),Trent University,https://www.ouinfo.ca/programs/trent/rba
Anthropology & Forensics (BSc),Trent University,https://www.ouinfo.ca/programs/trent/rbb
Anthropology & Media Studies,Trent University – Durham Greater Toronto Area,https://www.ouinfo.ca/programs/trent-durham-gta/rjz
Anthropology & Sociology,Trent University – Durham Greater Toronto Area,https://www.ouinfo.ca/programs/trent-durham-gta/rfa
Anthropology (4 years) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/oxb
Anthropology (BA),Trent University,https://www.ouinfo.ca/programs/trent/raa
Anthropology (BA),Trent University – Durham Greater Toronto Area,https://www.ouinfo.ca/programs/trent-durham-gta/roa
Anthropology (BA) - Co-Op,Trent University,https://www.ouinfo.ca/programs/trent/rfx
"Anthropology (BA, iBA)",York University,https://www.ouinfo.ca/programs/york/yrb
Anthropology (BSc),Trent University – Durham Greater Toronto Area,https://www.ouinfo.ca/programs/trent-durham-gta/ron
Anthropology (BSc),Trent University,https://www.ouinfo.ca/programs/trent/rsa
Anthropology (BSc) - Co-Op,Trent University,https://www.ouinfo.ca/programs/trent/rfy
Anthropology (Thunder Bay and Orillia),Lakehead University,https://www.ouinfo.ca/programs/lakehead/ant
Anthropology and Sociology (Joint Honours 4 years) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/oxr
Applied Biotechnology,Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dsf
Applied Biotechnology (Co-op),Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dbn
Applied Grape and Wine Science,Brock University,https://www.ouinfo.ca/programs/brock/bov
Applied Health Sciences (BASc),Wilfrid Laurier University – Brantford Campus,https://www.ouinfo.ca/programs/laurier-brantford/ual
Applied Human Nutrition,University of Guelph,https://www.ouinfo.ca/programs/guelph/gs
"Applied Life Sciences (Thunder Bay, Orillia and Lakehead/Georgian)",Lakehead University,https://www.ouinfo.ca/programs/lakehead/aa
Applied Linguistics,Brock University,https://www.ouinfo.ca/programs/brock/bal
Applied Mathematics (BA),York University,https://www.ouinfo.ca/programs/york/ypm
Applied Mathematics (BSc),York University,https://www.ouinfo.ca/programs/york/ysm
Archaeology (BA),Trent University,https://www.ouinfo.ca/programs/trent/rab
Archaeology (BA) - Co-Op,Trent University,https://www.ouinfo.ca/programs/trent/rfv
Archaeology (BSc),Trent University,https://www.ouinfo.ca/programs/trent/raf
Archaeology (BSc) - Co-Op,Trent University,https://www.ouinfo.ca/programs/trent/rfs
Archaeology (Honours Arts) - Bioarchaeology,Trent University,https://www.ouinfo.ca/programs/trent/rbe
Architectural Engineering (Co-op only),University of Waterloo,https://www.ouinfo.ca/programs/waterloo/wea
Architectural Science (Honours) (Co-op Available),Toronto Metropolitan University (formerly Ryerson University),https://www.ouinfo.ca/programs/toronto-metropolitan/sad
Architectural Studies,University of Toronto,https://www.ouinfo.ca/programs/toronto-st-george/tla
Architectural Studies,Laurentian University,https://www.ouinfo.ca/programs/laurentian/lda
Architectural Studies (regular and co-op) – Architecture,Carleton University,https://www.ouinfo.ca/programs/carleton/cr
Architecture (Co-op Only),University of Waterloo,https://www.ouinfo.ca/programs/waterloo/wr
Art History (4-year major) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/ovt
Arts,Queen's University,https://www.ouinfo.ca/programs/queens/qa
Arts,Western University – Huron University College,https://www.ouinfo.ca/programs/western-huron/eha
Arts,Western University – King's University College,https://www.ouinfo.ca/programs/western-kings/eka
Arts Degree (BA) + Business Administration (MBA) with Co-op,Wilfrid Laurier University,https://www.ouinfo.ca/programs/laurier-waterloo/uai
Arts Degree (BA) + Master’s Degree (MA or MAP),Wilfrid Laurier University,https://www.ouinfo.ca/programs/laurier-waterloo/uma
Arts General,University of Guelph,https://www.ouinfo.ca/programs/guelph/gkg
Arts Honours,University of Guelph,https://www.ouinfo.ca/programs/guelph/gk
"Arts Honours, Psychology (Co-op option available)",University of Guelph,https://www.ouinfo.ca/programs/guelph/gps
Arts One (Thunder Bay),Lakehead University,https://www.ouinfo.ca/programs/lakehead/ab
Arts and Business,Trent University – Durham Greater Toronto Area,https://www.ouinfo.ca/programs/trent-durham-gta/rob
Arts and Contemporary Studies (Honours),Toronto Metropolitan University (formerly Ryerson University),https://www.ouinfo.ca/programs/toronto-metropolitan/scs
Arts and Humanities,Western University,https://www.ouinfo.ca/programs/western/ea
Arts and Science I,McMaster University,https://www.ouinfo.ca/programs/mcmaster/mx
Arts and Sciences,University of Guelph,https://www.ouinfo.ca/programs/guelph/gas
Arts – Interdisciplinary Studies (3 years),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/oau
Arts – Interdisciplinary Studies (4 years),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/oaa
"Arts, Honours (BA): St. Jerome’s University",University of Waterloo – St. Jerome's University,https://www.ouinfo.ca/programs/waterloo-st-jeromes/wja
Astrophysics,Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dta
Astrophysics (Co-op),Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dtc
Automation Systems Engineering Technology (Bachelor of Technology),McMaster University,https://www.ouinfo.ca/programs/mcmaster/mpt
Automotive & Vehicle Engineering Technology I (Bachelor of Technology),McMaster University,https://www.ouinfo.ca/programs/mcmaster/mat
Automotive Engineering,Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dea
Automotive Engineering (Co-op),Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dca
BA – Honours (4 years) (co-op available with some concentrations),Carleton University,https://www.ouinfo.ca/programs/carleton/ch
BA – Non-Honours (3 years),Carleton University,https://www.ouinfo.ca/programs/carleton/ca
Bachelor of Arts,Nipissing University,https://www.ouinfo.ca/programs/nipissing/pa
Bachelor of Arts & Science,Trent University,https://www.ouinfo.ca/programs/trent/rac
Bachelor of Arts & Science (Honours Bachelor of Arts and Sciences) – Co-op,Trent University,https://www.ouinfo.ca/programs/trent/rau
Bachelor of Arts (Liberal Arts),Nipissing University,https://www.ouinfo.ca/programs/nipissing/pal
Bachelor of Arts and Science - Medical: Trent/Swansea Dual Degree,Trent University,https://www.ouinfo.ca/programs/trent/rmd
Bachelor of Arts in Criminal Justice,Nipissing University,https://www.ouinfo.ca/programs/nipissing/paj
Bachelor of Arts in History with Orientation to a Master of Arts in History,Nipissing University,https://www.ouinfo.ca/programs/nipissing/pah
Bachelor of Arts in Social Welfare and Social Development/Social Service Worker Diploma (joint program with Canadore College),Nipissing University,https://www.ouinfo.ca/programs/nipissing/pac
Bachelor of Arts/Bachelor of Commerce,Nipissing University,https://www.ouinfo.ca/programs/nipissing/pab
Bachelor of Business Administration,Nipissing University,https://www.ouinfo.ca/programs/nipissing/pba
Bachelor of Business Administration,Trent University – Durham Greater Toronto Area,https://www.ouinfo.ca/programs/trent-durham-gta/rdo
"Bachelor of Creative Arts, Health and Wellness (Honours)",University of Guelph,https://www.ouinfo.ca/programs/guelph/gca
Bachelor of Fine Arts,Nipissing University,https://www.ouinfo.ca/programs/nipissing/pfa
Bachelor of Indigenous Environmental Science and Practice,University of Guelph,https://www.ouinfo.ca/programs/guelph/gad
Bachelor of Mathematics (General),University of Guelph,https://www.ouinfo.ca/programs/guelph/gc
Bachelor of Mathematics (Honours),University of Guelph,https://www.ouinfo.ca/programs/guelph/gmh
Bachelor of One Health,University of Guelph,https://www.ouinfo.ca/programs/guelph/goh
Bachelor of Physical and Health Education,Nipissing University,https://www.ouinfo.ca/programs/nipissing/ppe
Bachelor of Science,Nipissing University,https://www.ouinfo.ca/programs/nipissing/ps
Bachelor of Science (Liberal Science),Nipissing University,https://www.ouinfo.ca/programs/nipissing/plb
Bachelor of Science in Agriculture,University of Guelph,https://www.ouinfo.ca/programs/guelph/gpa
Bachelor of Science in Environmental Sciences,University of Guelph,https://www.ouinfo.ca/programs/guelph/gea
"Bachelor of Science in Kinesiology, BSc(Kin) Bachelor of Sport Management, BSM",University of Windsor,https://www.ouinfo.ca/programs/windsor/np
Bachelor of Science in Nursing,Nipissing University,https://www.ouinfo.ca/programs/nipissing/psn
"Bachelor of Science, General (3 years)",University of Guelph,https://www.ouinfo.ca/programs/guelph/gzg
"Bachelor of Science, Honours (4 years)",University of Guelph,https://www.ouinfo.ca/programs/guelph/gz
Bachelor of Science/Bachelor of Commerce,Nipissing University,https://www.ouinfo.ca/programs/nipissing/pss
Bachelor of Social Work,Nipissing University,https://www.ouinfo.ca/programs/nipissing/psw
"Behaviour, Cognition and Neuroscience",University of Windsor,https://www.ouinfo.ca/programs/windsor/nsx
Behavioural Neuroscience,Laurentian University,https://www.ouinfo.ca/programs/laurentian/lno
Bio-Medical Science,University of Guelph,https://www.ouinfo.ca/programs/guelph/gzb
Biochemistry,Laurentian University,https://www.ouinfo.ca/programs/laurentian/lbc
Biochemistry,University of Windsor,https://www.ouinfo.ca/programs/windsor/nsy
Biochemistry,Brock University,https://www.ouinfo.ca/programs/brock/bch
Biochemistry (4 years) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/ouq
Biochemistry (BSc),York University,https://www.ouinfo.ca/programs/york/ysf
Biochemistry and Biotechnology (BSc),Wilfrid Laurier University,https://www.ouinfo.ca/programs/laurier-waterloo/ubi
Biochemistry and Molecular Biology,Trent University,https://www.ouinfo.ca/programs/trent/rbm
Bioinformatics (Thunder Bay),Lakehead University,https://www.ouinfo.ca/programs/lakehead/ac
Biological Engineering (co-op and regular),University of Guelph,https://www.ouinfo.ca/programs/guelph/gbm
Biological Science,Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dsb
Biological Science (Co-op),Ontario Tech University,https://www.ouinfo.ca/programs/ontario-tech/dcb
Biological Sciences,University of Windsor,https://www.ouinfo.ca/programs/windsor/nsb
Biological Sciences,Brock University,https://www.ouinfo.ca/programs/brock/bs
Biology,Trent University,https://www.ouinfo.ca/programs/trent/rbi
Biology (4 years) (French Immersion Stream is available),University of Ottawa,https://www.ouinfo.ca/programs/ottawa/our
