Program Name,University,Degree,Grade Range,Experiential Learning,Enrollment,Instruction Language
Accounting,Brock University,"Bachelor of Accounting, BAcc",Mid 80s,Co-op option available with this program,685										(total for all Business programs),English
Accounting,Carleton University,"Bachelor of Accounting, BAcc",80%,Co-op option available with this program,200,English
Accounting,Ontario Tech University,"Bachelor of Commerce, BCom",Low 70s,Co-op or internship option available,250,English
Accounting & Finance (Honours),Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Commerce, BComm",Mid 80s,Co-op option available with this program,455										(total for all Accounting & Finance programs),English
Accounting & Finance Co-op (Honours),Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Commerce, BComm",Mid 80s,Co-op program,455										(total for all Accounting & Finance programs),English
Accounting (BA 3 year),Algoma University,"Bachelor of Arts, BA",65%+,Co-op option available with this program,This is an open enrollment program. First-year admissions are not capped.,English
Accounting (Co-op),Ontario Tech University,"Bachelor of Commerce (Co-op), BCom (Co-op)",Low 80s,Co-op program,250,English
Accounting and Financial Management (Co-op Only),University of Waterloo,"Bachelor of Accounting and Financial Management, BAFM",Mid-80s,Co-op program,320,English
Acting,University of Windsor,"Bachelor of Fine Arts, BFA",70-88%,Practicum or internship option available,24,English
Acting (3 years),University of Ottawa,"Bachelor of Arts, BA
Bachelor of Fine Arts, BFA",+/- 75%,Practicum or internship option available,18,English
Actuarial Science,University of Windsor,"Bachelor of Mathematics, BMath",70–87%,Not Available,No limit,English
Actuarial Science (BA),York University,"Bachelor of Arts, BA",Low 80s,Co-op or internship option available,40,English
Advertising,OCAD University,"Bachelor of Design, BDes",N/A,Practicum or internship option available,"1,100										(total first year enrollment in all programs)",English
Aerospace Engineering (Co-op Available),Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Engineering, BEng",Mid 80s,Co-op option available with this program,126,English
African Studies (BA),York University,"Bachelor of Arts, BA",Mid-70s,Class-based experiential education,Open,English
Alternative Dispute Resolution,Ontario Tech University,"Bachelor of Arts, BA",Low 70s,Co-op available with a different program code,N/A,English
Alternative Dispute Resolution (Co-op),Ontario Tech University,"Bachelor of Arts, BA",low 70s,Co-op program,N/A,English
Ancient Greek and Roman Studies,Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Ancient Greek and Roman Studies (Honours Arts) – Co-op,Trent University,"Bachelor of Arts, BA",80%,Co-op program,20,English
